Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
05-12-2016,47384.93030612245,2013 M3,46350,1.68,-0.54,5.61
06-22-2016,47826.15776028721,2013 M3,46350,1.68,-0.54,5.61
08-02-2016,49151.90979693383,2013 M3,46350,1.68,-0.54,5.61
09-12-2016,48273.14535065748,2013 M3,46350,1.68,-0.54,5.61
10-23-2016,46937.83225158916,2013 M3,46350,1.68,-0.54,5.61
12-03-2016,45554.90228591733,2013 M3,46350,1.68,-0.54,5.61
01-13-2017,44059.17977736549,2013 M3,46350,1.68,-0.54,5.61
02-23-2017,43101.58850340136,2013 M3,46350,1.68,-0.54,5.61
04-05-2017,42650.947059317055,2013 M3,46350,1.68,-0.54,5.61
05-16-2017,42310.71648268704,2013 M3,46350,1.68,-0.54,5.61
06-26-2017,42540.39196160768,2013 M3,46350,1.68,-0.54,5.61
08-06-2017,43144.437952646236,2013 M3,46350,1.68,-0.54,5.61
09-16-2017,42628.622039565336,2013 M3,46350,1.68,-0.54,5.61
10-27-2017,42060.95146424855,2013 M3,46350,1.68,-0.54,5.61
12-07-2017,41145.232351225204,2013 M3,46350,1.68,-0.54,5.61
01-17-2018,40321.518253726805,2013 M3,46350,1.68,-0.54,5.61
02-27-2018,39441.621111945904,2013 M3,46350,1.68,-0.54,5.61
04-09-2018,38272.80519685039,2013 M3,46350,1.68,-0.54,5.61
05-20-2018,38212.04114591787,2013 M3,46350,1.68,-0.54,5.61
06-30-2018,38413.65797983641,2013 M3,46350,1.68,-0.54,5.61
08-10-2018,38950.74653361345,2013 M3,46350,1.68,-0.54,5.61
09-20-2018,38236.921941602726,2013 M3,46350,1.68,-0.54,5.61
10-31-2018,38134.8692322796,2013 M3,46350,1.68,-0.54,5.61
12-11-2018,37651.6413699771,2013 M3,46350,1.68,-0.54,5.61
01-21-2019,36509.45793745051,2013 M3,46350,1.68,-0.54,5.61
03-03-2019,35555.8520945007,2013 M3,46350,1.68,-0.54,5.61
04-13-2019,36046.407490168036,2013 M3,46350,1.68,-0.54,5.61
05-24-2019,35575.67931456548,2013 M3,46350,1.68,-0.54,5.61
07-04-2019,34924.79057899902,2013 M3,46350,1.68,-0.54,5.61
08-14-2019,34018.36738756187,2013 M3,46350,1.68,-0.54,5.61
09-24-2019,34641.71001374885,2013 M3,46350,1.68,-0.54,5.61
11-04-2019,34306.948119498535,2013 M3,46350,1.68,-0.54,5.61
12-15-2019,33767.3251369863,2013 M3,46350,1.68,-0.54,5.61
01-25-2020,33423.92336182336,2013 M3,46350,1.68,-0.54,5.61
03-06-2020,33554.21119133574,2013 M3,46350,1.68,-0.54,5.61
04-16-2020,33393.42159056998,2013 M3,46350,1.68,-0.54,5.61
05-27-2020,33419.38549393122,2013 M3,46350,1.68,-0.54,5.61
07-07-2020,33586.7358691444,2013 M3,46350,1.68,-0.54,5.61
08-17-2020,35556.00883116883,2013 M3,46350,1.68,-0.54,5.61
09-27-2020,36834.95656727452,2013 M3,46350,1.68,-0.54,5.61
11-07-2020,38509.52135466795,2013 M3,46350,1.68,-0.54,5.61
12-18-2020,39129.10892282958,2013 M3,46350,1.68,-0.54,5.61
01-28-2021,37968.10145975802,2013 M3,46350,1.68,-0.54,5.61
03-10-2021,38413.14550830398,2013 M3,46350,1.68,-0.54,5.61
04-20-2021,42285.74779275093,2013 M3,46350,1.68,-0.54,5.61
05-31-2021,42571.24896148036,2013 M3,46350,1.68,-0.54,5.61
07-11-2021,45481.136014248215,2013 M3,46350,1.68,-0.54,5.61
